Título,Estrelas
Shrek,3
Divertida Mente,5
Harry Potter e as Relíquias da Morte - Parte 2,5
O Senhor dos Anéis,5
Os Goonies,5
Ratatouille,5
Spotlight: Segredos Revelados,4
Mad Max: Estrada da Fúria,4
WALL-E,4
Up,4
Jurassic Park,5
Rock of Ages - O Filme,5
Guerra nas Estrelas,5
Garota Exemplar,4
Matrix,5
Os Vingadores - The Avengers,4
Harry Potter e as Relíquias da Morte - Parte 2,5
10 Coisas que Eu Odeio em Você,3
WALL-E,5
Harry Potter e as Relíquias da Morte - Parte 2,4
O Senhor dos Anéis,5
A Lista de Schindler,5
Animais Fantásticos e Onde Habitam,5
O Senhor dos Anéis,5
Garota Exemplar,5
Her,5
Mad Max: Estrada da Fúria,5
Spotlight: Segredos Revelados,4
10 Coisas que Eu Odeio em Você,4
Avatar,4
12 Anos de Escravidão,4
Batman: O Cavaleiro das Trevas,5
Guerra nas Estrelas,3
Divertida Mente,5
Up,5
10 Coisas que Eu Odeio em Você,5
Avatar,2
Batman: O Cavaleiro das Trevas,3
E.T.,4
Garota Exemplar,5
Hannibal,5
Her,4
Invocação do Mal,4
Mad Max: Estrada da Fúria,5
Matrix,1
Moulin Rouge!,5
O Show de Truman,5
Os Vingadores - The Avengers,3
Piratas do Caribe - A Maldição do Pérola Negra,3
Transformers,2
Up,3
WALL-E,5
A Teoria de Tudo,5
Cidade de Deus,5
Spotlight: Segredos Revelados,3
Harry Potter e as Relíquias da Morte - Parte 2,4
Matrix,5
Os Vingadores - The Avengers,4
Piratas do Caribe - A Maldição do Pérola Negra,5
Ratatouille,3
Invocação do Mal,3
O Show de Truman,5
Mad Max: Estrada da Fúria,5
Divertida Mente,5
Batman: O Cavaleiro das Trevas,5
Mad Max: Estrada da Fúria,5
Os Vingadores - The Avengers,5
Cidade de Deus,4
Matrix,5
Animais Fantásticos e Onde Habitam,5
10 Coisas que Eu Odeio em Você,3
12 Anos de Escravidão,4
A Lista de Schindler,5
A Teoria de Tudo,3
Avatar,4
Batman: O Cavaleiro das Trevas,5
Cidade de Deus,5
Coração Valente,5
Divertida Mente,4
E.T.,5
Guerra nas Estrelas,5
Hannibal,5
Harry Potter e as Relíquias da Morte - Parte 2,5
Her,4
Mad Max: Estrada da Fúria,5
Matrix,5
Moulin Rouge!,5
O Poderoso Chefão,5
O Show de Truman,5
Os Miseráveis,5
Batman: O Cavaleiro das Trevas,5
Divertida Mente,4
Invocação do Mal,5
Mad Max: Estrada da Fúria,5
O Senhor dos Anéis,5
A Lista de Schindler,5
12 Anos de Escravidão,4
A Teoria de Tudo,5
Animais Fantásticos e Onde Habitam,5
Avatar,5
E.T.,5
Harry Potter e as Relíquias da Morte - Parte 2,5
Jurassic Park,5
Transformers,5
Ratatouille,3
A Teoria de Tudo,4
Divertida Mente,4
Jurassic Park,5
Zootopia,5